,train-auc-mean,train-auc-std,test-auc-mean,test-auc-std
0,0.8975683,0.0009093306384368622,0.8928996,0.00825823947582051
1,0.9069851,0.0026114510698077554,0.9011617,0.007518845670048025
2,0.9136785,0.001403479052212761,0.9079096,0.007752611252990835
3,0.9191233000000001,0.0009208806708797906,0.91213,0.0071454083718147186
4,0.9228642,0.0010968401706720845,0.9149616,0.006706011067691438
5,0.9264108999999999,0.001299476159842867,0.9177445000000001,0.006494181476521875
6,0.9304611999999999,0.0011490998912192225,0.9208304999999999,0.006556445229695733
7,0.9332919000000001,0.0012145817757565523,0.9228609999999999,0.006997531536191879
8,0.9363104,0.0010966128031351622,0.9247703999999999,0.006658755517362069
9,0.9392983000000001,0.0011572478602270132,0.9267467,0.005896659970695265
10,0.9414313999999999,0.0012022088171361968,0.9281460999999999,0.005730123601633739
11,0.9434991,0.0012769189050210023,0.9291893,0.00613665487134483
12,0.9454071000000001,0.0014203021826357824,0.9297804,0.006241085918331825
13,0.9470468000000001,0.0014323539227439675,0.9305494,0.0062235649944384856
14,0.9489481,0.0010420424607471687,0.9312657999999999,0.005895652852738197
15,0.9506241000000001,0.0011867739843794943,0.9319117,0.005750226361631346
16,0.9521352000000001,0.001791420989047519,0.9326587,0.005379531151503826
17,0.9530996,0.0019451645277456498,0.933071,0.005246122034417422
18,0.9548688999999999,0.0018529827549116685,0.9339881999999999,0.004913621878004051
19,0.9569325999999998,0.0020473483435898307,0.9354803,0.005744013353919013
20,0.9587923,0.0018039644148374943,0.9355132000000002,0.006269266317520757
21,0.9603467,0.001618875538761392,0.9364621,0.006494610326262852
22,0.9616976999999999,0.0014307403013824505,0.9372701999999998,0.00591900786956733
23,0.963249,0.001381618471214108,0.9380649999999999,0.005999503879488688
24,0.9646418000000001,0.0017625947804302763,0.9382683999999999,0.0058703187852109
25,0.9659797000000001,0.001814278371694926,0.9385416999999998,0.005709703390720043
26,0.9670807,0.0016479988501209575,0.9389243,0.005753517742216483
27,0.9683345000000001,0.0009669473874001543,0.9392997,0.005665692985857958
28,0.9693729999999998,0.0013543620638514589,0.9396169000000001,0.005666904806858853
29,0.9702674,0.0013022874644255935,0.9399035000000001,0.005668570741377408
30,0.9709713999999998,0.0011476377651506696,0.9401703999999999,0.005884350944666722
31,0.9716671,0.0012022016844107297,0.9405621,0.005623990192914623
32,0.9724932,0.0011507052446217362,0.940976,0.005663005244567592
33,0.973096,0.0013212506953640536,0.9410445,0.005830294593757677
34,0.9738823,0.001344549593730177,0.9415891000000001,0.005602762933589109
35,0.9746991999999999,0.0012076279890761079,0.9418416000000001,0.005169874683200755
36,0.9753076,0.0011526397702664858,0.9417009000000001,0.005273226212670939
37,0.9761762,0.0011107059736942314,0.9420452000000001,0.005312785310926846
